name,role,Batting Style,Bowling Style,team,bat_matches,bat_innings,bat_runs,bat_balls,bat_highest,bat_average,bat_sr,bat_not_out,bat_fours,bat_sixes,bat_ducks,bat_50s,bat_100s,bat_200s,bat_300s,bat_400s,bowl_matches,bowl_innings,bowl_balls,bowl_runs,bowl_maidens,bowl_wickets,bowl_avg,bowl_eco,bowl_sr,bowl_bbi,bowl_bbm,bowl_4w,bowl_5w,bowl_10w,player_image_filename
Prashant Solanki,Bowler,Right Handed Bat,Right-arm legbreak,Kolkata Knight Riders,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,36,38,0,2,19.0,6.33,18.0,2/20,2/20,0,0,0,kolkata-knight-riders__prashant-solanki.jpg
Kartik Tyagi,Bowler,Right Handed Bat,Right-arm fast,Kolkata Knight Riders,27,9,24,25,7,4,96.00,3,2,1,1,0,0,0,0,0,27,26,560,932,0,23,40.52,9.99,24.35,3/22,3/22,0,0,0,kolkata-knight-riders__kartik-tyagi.jpg
Matheesha Pathirana,Bowler,Right Handed Bat,Right-arm fast,Kolkata Knight Riders,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,702,1016,0,47,21.62,8.68,14.94,4/28,4/28,1,0,0,kolkata-knight-riders__matheesha-pathirana.jpg
Blessing Muzarabani,Bowler,Right Handed Bat,Right-arm fast-medium,Kolkata Knight Riders,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,42,75,0,4,18.75,10.71,10.5,4/41,4/41,1,0,0,kolkata-knight-riders__blessing-muzarabani.jpg
Saurabh Dubey,Bowler,Right Handed Bat,Left-arm fast-medium,Kolkata Knight Riders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kolkata-knight-riders__saurabh-dubey.jpg
Navdeep Saini,Bowler,Right Handed Bat,Right-arm fast,Kolkata Knight Riders,34,7,33,37,12,8.25,89.19,3,3,0,0,0,0,0,0,0,34,33,676,1011,1,23,43.96,8.97,29.39,3/40,3/40,0,0,0,kolkata-knight-riders__navdeep-saini.jpg
Travis Head,Batsman,Left Handed Bat,Right-arm offbreak,Sunrisers Hyderabad,44,43,1289,773,102,33.05,166.76,4,146,60,5,8,1,0,0,0,44,6,58,113,0,2,56.5,11.69,29.0,2/30,2/30,0,0,0,sunrisers-hyderabad__travis-head.jpg
Smaran Ravichandran,Batsman,Left Handed Bat,Right-arm offbreak,Sunrisers Hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunrisers-hyderabad__smaran-ravichandran.jpg
Aniket Verma,Batsman,Right Handed Bat,Right-arm medium,Sunrisers Hyderabad,20,18,308,187,74,22,164.71,4,17,25,0,1,0,0,0,0,20,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,sunrisers-hyderabad__aniket-verma.jpg
Abhishek Sharma,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Sunrisers Hyderabad,83,80,2003,1196,141,27.44,167.48,7,189,118,5,11,1,0,0,0,83,35,353,536,0,11,48.73,9.11,32.09,2/4,2/4,0,0,0,sunrisers-hyderabad__abhishek-sharma.jpg
Kamindu Mendis,Batting Allrounder,Left Handed Bat,Right-arm offbreak,Sunrisers Hyderabad,5,5,92,69,32,23,133.34,1,7,2,1,0,0,0,0,0,5,4,42,60,0,2,30.0,8.57,21.0,1/4,1/4,0,0,0,sunrisers-hyderabad__kamindu-mendis.jpg
Nitish Kumar Reddy,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Sunrisers Hyderabad,34,28,621,450,76,28.23,138.00,6,38,36,1,3,0,0,0,0,34,18,217,374,0,9,41.56,10.34,24.11,2/17,2/17,0,0,0,sunrisers-hyderabad__nitish-kumar-reddy.jpg
Liam Livingstone,Batting Allrounder,Right Handed Bat,Right-arm legbreak,Sunrisers Hyderabad,51,49,1066,687,94,25.38,155.17,7,70,76,3,7,0,0,0,0,51,27,312,469,0,13,36.08,9.02,24.0,3/27,3/27,0,0,0,sunrisers-hyderabad__liam-livingstone.jpg
Harsh Dubey,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Sunrisers Hyderabad,8,5,13,9,9,6.5,144.45,3,2,0,1,0,0,0,0,0,8,8,150,228,0,10,22.8,9.12,15.0,3/34,3/34,0,0,0,sunrisers-hyderabad__harsh-dubey.jpg
Shivang Kumar,Bowling Allrounder,Right Handed Bat,Left-arm wrist-spin,Sunrisers Hyderabad,5,3,21,14,12,7,150.00,0,3,1,0,0,0,0,0,0,5,5,108,150,0,5,30.0,8.33,21.6,3/33,3/33,0,0,0,sunrisers-hyderabad__shivang-kumar.jpg
Ishan Kishan,WK-Batsman,Left Handed Bat,,Sunrisers Hyderabad,125,118,3211,2291,106,29.46,140.16,9,310,146,10,19,1,0,0,0,125,1,1,4,0,0,0.0,0,0.0,0/4,0/4,0,0,0,sunrisers-hyderabad__ishan-kishan.jpg
Heinrich Klaasen,WK-Batsman,Right Handed Bat,Right-arm offbreak,Sunrisers Hyderabad,55,51,1763,1068,105,41,165.08,8,117,99,1,10,2,0,0,0,55,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,sunrisers-hyderabad__heinrich-klaasen.jpg
Salil Arora,WK-Batsman,Right Handed Bat,,Sunrisers Hyderabad,5,5,55,40,24,13.75,137.50,1,4,4,1,0,0,0,0,0,5,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,sunrisers-hyderabad__salil-arora.jpg
Pat Cummins,Bowler,Right Handed Bat,Right-arm fast,Sunrisers Hyderabad,72,50,612,402,66,20.4,152.24,20,39,41,4,3,0,0,0,0,72,72,1617,2373,2,79,30.04,8.81,20.47,4/34,4/34,1,0,0,sunrisers-hyderabad__pat-cummins.jpg
Eshan Malinga,Bowler,Left Handed Bat,Right-arm fast-medium,Sunrisers Hyderabad,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,274,423,0,21,20.14,9.26,13.05,3/29,3/29,0,0,0,sunrisers-hyderabad__eshan-malinga.jpg
Jaydev Unadkat,Bowler,Right Handed Bat,Left-arm fast-medium,Sunrisers Hyderabad,116,33,201,169,26,12.56,118.94,17,16,7,2,0,0,0,0,0,116,115,2351,3504,3,114,30.74,8.94,20.62,5/25,5/25,0,2,0,sunrisers-hyderabad__jaydev-unadkat.jpg
Harshal Patel,Bowler,Right Handed Bat,Right-arm fast-medium,Sunrisers Hyderabad,122,48,274,233,36,8.84,117.60,17,17,15,10,0,0,0,0,0,122,119,2470,3673,2,151,24.32,8.92,16.36,5/27,5/27,4,1,0,sunrisers-hyderabad__harshal-patel.jpg
Zeeshan Ansari,Bowler,Right Handed Bat,Right-arm legbreak,Sunrisers Hyderabad,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,203,333,0,6,55.5,9.84,33.83,3/42,3/42,0,0,0,sunrisers-hyderabad__zeeshan-ansari.jpg
Sakib Hussain,Bowler,Right Handed Bat,Right-arm fast-medium,Sunrisers Hyderabad,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,48,56,0,5,11.2,7,9.6,4/24,4/24,1,0,0,sunrisers-hyderabad__sakib-hussain.jpg
Onkar Tarmale,Bowler,Right Handed Bat,Right-arm fast-medium,Sunrisers Hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunrisers-hyderabad__onkar-tarmale.jpg
Amit Kumar,Bowler,Right Handed Bat,Right-arm legbreak,Sunrisers Hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunrisers-hyderabad__amit-kumar.jpg
Praful Hinge,Bowler,Right Handed Bat,Right-arm fast-medium,Sunrisers Hyderabad,2,1,0,1,0,0,0.00,1,0,0,0,0,0,0,0,0,2,2,48,94,0,5,18.8,11.75,9.6,4/34,4/34,1,0,0,sunrisers-hyderabad__praful-hinge.jpg
Krains Fuletra,Bowler,Right Handed Bat,Left-arm wrist-spin,Sunrisers Hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunrisers-hyderabad__krains-fuletra.jpg
Shivam Mavi,Bowler,Right Handed Bat,Right-arm fast-medium,Sunrisers Hyderabad,32,12,51,56,20,5.67,91.08,3,4,2,3,0,0,0,0,0,32,32,649,942,2,30,31.4,8.71,21.63,4/21,4/21,1,0,0,sunrisers-hyderabad__shivam-mavi.jpg
Dilshan Madushanka,Bowler,Right Handed Bat,Left-arm fast-medium,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,sunrisers-hyderabad__dilshan-madushanka.jpg
Gerald Coetzee,Bowler,Right Handed Bat,Right-arm fast,Sunrisers Hyderabad,14,7,31,33,12,5.17,93.94,1,2,2,1,0,0,0,0,0,14,14,273,472,0,15,31.47,10.37,18.2,4/34,4/34,1,0,0,sunrisers-hyderabad__gerald-coetzee.jpg
Shubham Dubey,Batsman,Left Handed Bat,Right-arm offbreak,Rajasthan Royals,13,11,139,85,34,23.17,163.53,5,9,10,1,0,0,0,0,0,13,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,rajasthan-royals__shubham-dubey.jpg
Shimron Hetmyer,Batsman,Left Handed Bat,,Rajasthan Royals,91,83,1521,1010,75,28.17,150.60,29,94,95,4,5,0,0,0,0,91,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,rajasthan-royals__shimron-hetmyer.jpg
Yashasvi Jaiswal,Batsman,Left Handed Bat,Right-arm legbreak,Rajasthan Royals,72,72,2389,1563,124,35.66,152.85,5,281,104,4,17,2,0,0,0,72,1,1,6,0,0,0.0,0,0.0,0/6,0/6,0,0,0,rajasthan-royals__yashasvi-jaiswal.jpg
Vaibhav Sooryavanshi,Batsman,Left Handed Bat,Left-arm orthodox,Rajasthan Royals,13,13,498,226,101,38.31,220.36,0,42,44,2,3,1,0,0,0,13,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,rajasthan-royals__vaibhav-sooryavanshi.jpg
Aman Rao Perala,Batsman,Right Handed Bat,,Rajasthan Royals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rajasthan-royals__aman-rao-perala.jpg
Riyan Parag,Batting Allrounder,Right Handed Bat,Right-arm legbreak,Rajasthan Royals,89,78,1627,1154,95,25.03,140.99,13,115,91,3,7,0,0,0,0,89,33,313,503,0,9,55.89,9.64,34.78,1/5,1/5,0,0,0,rajasthan-royals__riyan-parag.jpg
Dasun Shanaka,Batting Allrounder,Right Handed Bat,Right-arm medium,Rajasthan Royals,3,3,26,26,17,13,100.00,1,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,rajasthan-royals__dasun-shanaka.jpg
Ravindra Jadeja,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Rajasthan Royals,260,202,3345,2574,77,28.11,129.96,83,248,117,9,5,0,0,0,0,260,229,4116,5253,2,175,30.02,7.66,23.52,5/16,5/16,3,1,0,rajasthan-royals__ravindra-jadeja.jpg
Dhruv Jurel,WK-Batsman,Right Handed Bat,,Rajasthan Royals,47,41,861,548,81,29.69,157.12,12,68,46,4,6,0,0,0,0,47,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,rajasthan-royals__dhruv-jurel.jpg
Lhuan-dre Pretorius,WK-Batsman,Left Handed Bat,,Rajasthan Royals,1,1,0,2,0,0,0.00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,rajasthan-royals__lhuan-dre-pretorius.jpg
Donovan Ferreira,WK-Batsman,Right Handed Bat,Right-arm offbreak,Rajasthan Royals,8,6,86,68,69,14.33,126.48,0,7,4,0,1,0,0,0,0,8,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,rajasthan-royals__donovan-ferreira.jpg
Ravi Singh,WK-Batsman,Left Handed Bat,Right-arm legbreak,Rajasthan Royals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rajasthan-royals__ravi-singh.jpg
Jofra Archer,Bowler,Right Handed Bat,Right-arm fast,Rajasthan Royals,58,35,273,190,30,13,143.69,14,15,18,5,0,0,0,0,0,58,58,1344,1781,3,67,26.58,7.95,20.06,3/15,3/15,0,0,0,rajasthan-royals__jofra-archer.jpg
Nandre Burger,Bowler,Left Handed Bat,Left-arm fast-medium,Rajasthan Royals,11,1,3,5,3,0,60.00,1,0,0,0,0,0,0,0,0,11,11,210,304,0,13,23.38,8.69,16.15,2/21,2/21,0,0,0,rajasthan-royals__nandre-burger.jpg
Tushar Deshpande,Bowler,Left Handed Bat,Right-arm fast-medium,Rajasthan Royals,49,9,53,33,25,17.67,160.61,6,2,4,0,0,0,0,0,0,49,49,1019,1691,0,54,31.31,9.96,18.87,4/27,4/27,1,0,0,rajasthan-royals__tushar-deshpande.jpg
Kwena Maphaka,Bowler,Left Handed Bat,Left-arm fast-medium,Rajasthan Royals,4,1,8,2,8,0,400.00,1,2,0,0,0,0,0,0,0,4,4,66,143,0,2,71.5,13,33.0,1/23,1/23,0,0,0,rajasthan-royals__kwena-maphaka.jpg
Sandeep Sharma,Bowler,Right Handed Bat,Right-arm fast-medium,Rajasthan Royals,141,28,60,75,9,10,80.00,22,4,0,4,0,0,0,0,0,141,141,3141,4251,8,151,28.15,8.12,20.8,5/18,5/18,2,1,0,rajasthan-royals__sandeep-sharma.jpg
Yudhvir Singh Charak,Bowler,Right Handed Bat,Right-arm fast-medium,Rajasthan Royals,9,4,22,16,14,5.5,137.50,0,1,2,1,0,0,0,0,0,9,9,138,253,0,8,31.63,11,17.25,3/47,3/47,0,0,0,rajasthan-royals__yudhvir-singh-charak.jpg
Vignesh Puthur,Bowler,Right Handed Bat,Left-arm wrist-spin,Rajasthan Royals,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,72,109,0,6,18.17,9.08,12.0,3/32,3/32,0,0,0,rajasthan-royals__vignesh-puthur.jpg
